timestamp_ms,emotion,confidence,vectors_used,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
11500,contempt,0.85,7,0.0,0.00459,0.00636,0.12949,0.50113,0.27693,0.0,0.0,0.0,0.01111,0.00804,0.45916,0.4524,0.0089,0.24205,0.23922,0.018,0.01634,0.01209,0.03616,0.03814,0.07243,0.06778,3e-05,0.00052,0.00037,1e-05,0.00014,0.0008,0.00042,0.00671,0.00906,0.00254,0.00126,0.00013,0.0001,0.00424,0.00453,0.22853,0.00127,0.001,0.00014,0.03534,0.06353,0.00094,0.0009,0.00401,0.01007,0.00853,0.00865,1e-05,0.0
12000,surprised,0.7,8,0.0,0.0091,0.01313,0.11104,0.45744,0.20086,1e-05,0.0,0.0,0.01687,0.00856,0.3425,0.34338,0.00857,0.24555,0.24222,0.01723,0.03302,0.03068,0.05183,0.06423,0.05362,0.07007,4e-05,0.00047,0.00037,1e-05,0.00012,0.00065,0.00045,0.01465,0.01775,0.00254,0.00152,0.00022,0.00016,0.00368,0.00525,0.21193,0.00082,0.00094,0.00012,0.03153,0.07229,0.00105,0.001,0.00796,0.00883,0.00834,0.00952,1e-05,0.0
12500,surprised,0.7,7,0.0,0.00493,0.00679,0.13297,0.50404,0.27277,0.0,0.0,0.0,0.01349,0.00806,0.44422,0.44184,0.00848,0.24692,0.24562,0.01752,0.01645,0.01299,0.03786,0.04164,0.06043,0.06879,3e-05,0.00055,0.00038,1e-05,0.00015,0.00064,0.00047,0.00784,0.01024,0.00256,0.00124,0.00013,9e-05,0.00354,0.00508,0.2381,0.00128,0.00103,0.00013,0.03835,0.06573,0.00087,0.00092,0.00429,0.0102,0.00857,0.00933,1e-05,0.0
13000,surprised,0.7,8,0.0,0.00478,0.00712,0.13362,0.50387,0.25778,0.0,0.0,0.0,0.0114,0.00797,0.43826,0.43532,0.00859,0.25072,0.24913,0.01634,0.01685,0.01326,0.03398,0.03864,0.07037,0.07027,3e-05,0.00045,0.00035,1e-05,0.00012,0.00063,0.00043,0.00781,0.01043,0.00277,0.00114,0.00013,9e-05,0.00328,0.00459,0.28551,0.0015,0.00104,0.00012,0.03872,0.0665,0.00066,0.00069,0.00376,0.01029,0.00666,0.0073,1e-05,0.0
13500,surprised,0.7,7,0.0,0.00715,0.00977,0.10854,0.45891,0.22618,0.0,0.0,0.0,0.01174,0.00987,0.43957,0.43971,0.0067,0.27333,0.27196,0.01636,0.01671,0.01251,0.03509,0.0421,0.07159,0.05655,3e-05,0.00042,0.00032,1e-05,0.00012,0.00075,0.00046,0.00638,0.00866,0.00272,0.0012,0.00012,9e-05,0.00362,0.00466,0.28989,0.00145,0.00104,0.00012,0.04079,0.0664,0.00074,0.00076,0.00333,0.00984,0.00686,0.00742,1e-05,0.0
14000,happy,0.9,8,0.0,0.02445,0.04435,0.05372,0.27136,0.11336,1e-05,0.0,0.0,0.05532,0.05187,0.3219,0.32252,0.01129,0.21932,0.22194,0.02461,0.03229,0.02714,0.2352,0.21876,0.02884,0.02618,4e-05,0.00024,0.00035,1e-05,0.00018,0.00281,0.00453,0.00191,0.00261,0.00186,0.00159,8e-05,7e-05,0.01787,0.01679,0.12928,0.00185,0.00089,0.0009,0.07959,0.04778,0.46873,0.46366,0.00948,0.01798,0.03054,0.04451,0.0,0.0
14500,happy,0.95,7,0.0,0.05653,0.09599,0.01851,0.10021,0.04398,3e-05,0.0,0.0,0.09936,0.1099,0.21924,0.2413,0.01824,0.14494,0.16944,0.04117,0.04503,0.03084,0.48845,0.29046,0.00932,0.00422,3e-05,0.00011,0.00044,1e-05,0.00022,0.00645,0.00891,0.00017,0.00019,0.00066,0.00184,3e-05,3e-05,0.03129,0.02927,0.02396,0.0018,0.00123,0.00152,0.19394,0.03715,0.84083,0.84618,0.00565,0.01075,0.05448,0.0821,0.0,0.0
15000,happy,0.9,8,0.0,0.04476,0.06085,0.03463,0.13601,0.04888,2e-05,0.0,0.0,0.11174,0.09891,0.21917,0.23398,0.03342,0.08244,0.11698,0.06946,0.05703,0.04505,0.45275,0.33818,0.01016,0.00595,6e-05,0.00011,0.00039,1e-05,0.00014,0.00384,0.00437,0.00033,0.00035,0.00083,0.00159,0.00011,0.00015,0.026,0.02458,0.02234,0.00148,0.00109,0.00142,0.08435,0.02324,0.80252,0.81253,0.00668,0.01753,0.02511,0.03679,0.0,0.0
15500,happy,0.9,7,0.0,0.046,0.06497,0.03145,0.12351,0.06511,2e-05,0.0,0.0,0.11886,0.12154,0.24872,0.26808,0.02747,0.08643,0.12466,0.06298,0.0365,0.02634,0.40568,0.25148,0.00794,0.0037,3e-05,0.00013,0.00042,1e-05,0.00017,0.00419,0.00465,0.00024,0.00027,0.00061,0.00215,3e-05,3e-05,0.03075,0.03045,0.0199,0.00104,0.00136,0.00188,0.12112,0.02748,0.80217,0.81298,0.00599,0.01344,0.02632,0.04152,0.0,0.0
16000,happy,0.9,8,0.0,0.04782,0.06747,0.02955,0.1157,0.0622,2e-05,0.0,0.0,0.11407,0.1291,0.26368,0.28458,0.02961,0.07579,0.11808,0.06996,0.03488,0.02388,0.41887,0.25691,0.00848,0.00341,2e-05,0.00014,0.00043,1e-05,0.00017,0.00417,0.00527,0.00027,0.00029,0.00053,0.0017,3e-05,2e-05,0.02842,0.02793,0.021,0.00128,0.00149,0.00171,0.13815,0.02681,0.77883,0.79148,0.00478,0.00925,0.01895,0.03175,0.0,0.0
